Name,obs_date,rms,comp,Vpeak,Vpeak_err,FWHM,FWHM_err,Speak,Si,Si_err,direct_extract_Speak
NGC 7538 IRS1,20160203,0.046740436,absorption,-55.41130641,0.177011118,8.109687265,0.328103134,-0.348000527,-3.004112682,0.127337084,
NGC 7538 IRS1,20160203,0.046740436,Comp.I,-57.83523362,0.013687052,1.014093532,0.032237486,1.092849992,1.179697819,0.03247297,1.081255509
NGC 7538 IRS1,20160203,0.046740436,Comp.II,-60.02547088,0.009919772,0.726118838,0.023363418,1.275995118,0.986254338,0.027478575,1.32053897
NGC 7538 IRS1,20160204,0.029034517,absorption,-55.64540962,0.131785605,7.9056375,0.224727491,-0.316844864,-2.666341535,0.085989962,
NGC 7538 IRS1,20160204,0.029034517,Comp.I,-57.58503405,0.010539057,1.096479264,0.02492883,0.92968841,1.085100716,0.021302422,0.948517748
NGC 7538 IRS1,20160204,0.029034517,Comp.II,-59.76696255,0.009700127,0.925589684,0.022930585,0.928338753,0.914654754,0.019575302,0.971672612
NGC 7538 IRS1,20160205,0.035033144,absorption,-55.8415797,0.149458504,6.773040936,0.261806335,-0.390615832,-2.816214646,0.121200559,
NGC 7538 IRS1,20160205,0.035033144,Comp.I,-57.88062302,0.012742854,1.065672895,0.030026663,1.075640146,1.220177839,0.029761121,1.155143598
NGC 7538 IRS1,20160205,0.035033144,Comp.II,-60.07171455,0.009545424,0.760641684,0.022489401,1.213251123,0.982342726,0.025144565,1.302808595
NGC 7538 IRS1,20160219,0.056287318,absorption,-55.88710246,0.263774395,7.051174256,0.446060369,-0.302332436,-2.269229396,0.164906726,
NGC 7538 IRS1,20160219,0.056287318,Comp.I,-57.86906757,0.02137046,1.130460285,0.05044631,0.875825092,1.053913343,0.040664404,0.956939756
NGC 7538 IRS1,20160219,0.056287318,Comp.II,-60.03704523,0.01711895,0.800260286,0.040386273,0.920130824,0.783814069,0.034218384,0.97233164
NGC 7538 IRS1,20160220,0.076209878,absorption,-55.76406978,0.315752738,7.732454878,0.576267552,-0.285668688,-2.351322748,0.186674821,
NGC 7538 IRS1,20160220,0.076209878,Comp.I,-57.85117816,0.020514593,0.984717801,0.048316802,1.06847389,1.119973928,0.047585731,1.026743061
NGC 7538 IRS1,20160220,0.076209878,Comp.II,-60.04126418,0.018382846,0.745316623,0.043294914,1.037395304,0.823033088,0.041399856,1.05211098
NGC 7538 IRS1,20160221,0.040215086,absorption,-55.97535686,0.161988398,7.372176941,0.291772351,-0.314213842,-2.465774028,0.105637877,
NGC 7538 IRS1,20160221,0.040215086,Comp.I,-57.81719673,0.012346494,0.960757088,0.029078986,0.989774798,1.012236978,0.026529326,0.973411715
NGC 7538 IRS1,20160221,0.040215086,Comp.II,-60.02617295,0.011396443,0.788632742,0.026840893,0.971491716,0.815541594,0.024035628,1.03037954
NGC 7538 IRS1,20160223,0.04003822,absorption,-55.67922561,0.175161807,7.727235025,0.314064763,-0.312360414,-2.569285239,0.113090033,
NGC 7538 IRS1,20160223,0.04003822,Comp.I,-57.84070603,0.016450156,1.050347112,0.038753849,0.803762661,0.898654768,0.028706268,0.832454382
NGC 7538 IRS1,20160223,0.04003822,Comp.II,-60.06432471,0.010807807,0.770690965,0.025459448,1.047951434,0.859713277,0.024589721,1.109357024
NGC 7538 IRS1,20160226,0.058006057,absorption,-55.20356481,0.325137185,9.82007685,0.627010442,-0.254316824,-2.658411382,0.171098205,
NGC 7538 IRS1,20160226,0.058006057,Comp.I,-57.87132153,0.018154266,0.964224002,0.042754455,1.094914795,1.123803738,0.043151196,1.224367183
NGC 7538 IRS1,20160226,0.058006057,Comp.II,-60.04624172,0.012608401,0.715329367,0.029693153,1.357923782,1.033983621,0.037167453,1.400927194
NGC 7538 IRS1,20160227,0.054858186,absorption,-55.72677983,0.201125353,7.533985369,0.367398161,-0.346833524,-2.781493508,0.144279313,
NGC 7538 IRS1,20160227,0.054858186,Comp.I,-57.89974318,0.016509845,0.962734143,0.0388886,1.00502717,1.02995058,0.036023301,1.030332078
NGC 7538 IRS1,20160227,0.054858186,Comp.II,-60.0302338,0.013155385,0.753545325,0.030986071,1.115861349,0.895059332,0.031869882,1.156686206
NGC 7538 IRS1,20160304,0.076591841,absorption,-55.36066545,0.221464001,6.455035482,0.43775977,-0.373612473,-2.567155704,0.174070231,
NGC 7538 IRS1,20160304,0.076591841,Comp.I,-57.85593276,0.018478998,0.949016617,0.043516832,1.086096398,1.097171202,0.043568689,1.047794782
NGC 7538 IRS1,20160304,0.076591841,Comp.II,-60.03417767,0.014833598,0.680215341,0.034931924,1.145505617,0.829422583,0.036886369,1.133757945
NGC 7538 IRS1,20160305,0.086436899,absorption,-55.38871032,0.262802906,5.209827154,0.569711555,-0.310572345,-1.722337695,0.175033989,
NGC 7538 IRS1,20160305,0.086436899,Comp.I,-57.81301496,0.02530999,0.799854525,0.059601091,0.85155161,0.725027018,0.046786917,0.831278583
NGC 7538 IRS1,20160305,0.086436899,Comp.II,-60.08780932,0.023587692,0.730319057,0.05554534,0.873196244,0.67882324,0.044709206,0.943751801
NGC 7538 IRS1,20160306,0.077627598,absorption,-54.77267095,0.174815182,3.716931675,0.460687179,-0.324898313,-1.285476803,0.128670712,
NGC 7538 IRS1,20160306,0.077627598,Comp.I,-57.82376547,0.035275478,0.990363456,0.083103974,0.700523028,0.738497847,0.053651231,0.685386399
NGC 7538 IRS1,20160306,0.077627598,Comp.II,-60.01247094,0.028421552,0.809383942,0.066953638,0.785991423,0.677180746,0.048501415,0.839338264
NGC 7538 IRS1,20160307,0.064582676,absorption,-56.18024862,0.238461747,7.275296529,0.396403932,-0.350694845,-2.71589072,0.173367478,
NGC 7538 IRS1,20160307,0.064582676,Comp.I,-57.85514971,0.020141797,1.148846673,0.047674232,1.011833715,1.237380955,0.044318259,1.052933772
NGC 7538 IRS1,20160307,0.064582676,Comp.II,-59.98958965,0.015079263,0.839468368,0.035646292,1.155864786,1.032865043,0.03789401,1.191824836
NGC 7538 IRS1,20160314,0.062204039,absorption,-55.20679489,0.20150915,4.761665036,0.467832635,-0.311765535,-1.580225823,0.13720329,
NGC 7538 IRS1,20160314,0.062204039,Comp.I,-57.86859066,0.019332481,0.892075471,0.045525884,0.930097179,0.883206253,0.039033497,1.01090843
NGC 7538 IRS1,20160314,0.062204039,Comp.II,-60.0373946,0.016309843,0.701802354,0.038407807,0.977837008,0.730488697,0.034621096,0.978080768
NGC 7538 IRS1,20160318,0.066535053,absorption,-55.90592112,0.273716722,6.013777948,0.49724205,-0.316916547,-2.028731229,0.181563825,
NGC 7538 IRS1,20160318,0.066535053,Comp.I,-57.84895857,0.019545111,0.957964193,0.046033019,1.030622143,1.05094734,0.043729993,1.085104858
NGC 7538 IRS1,20160318,0.066535053,Comp.II,-60.00367858,0.01756336,0.741693496,0.04136464,1.009175803,0.796752637,0.038478341,0.98446566
NGC 7538 IRS1,20160328,0.070229582,absorption,-55.90163148,0.271492079,7.829418174,0.477286236,-0.343826939,-2.865507836,0.192729142,
NGC 7538 IRS1,20160328,0.070229582,Comp.I,-57.83056217,0.021959299,1.026652014,0.051765628,1.009875501,1.103629524,0.048156854,0.983985347
NGC 7538 IRS1,20160328,0.070229582,Comp.II,-60.02195555,0.018515833,0.851210492,0.043642484,1.090546591,0.988128448,0.04384919,1.113786106
NGC 7538 IRS1,20160402,0.075389557,absorption,-55.28918375,0.200534787,4.840057733,0.444235459,-0.375842848,-1.936373106,0.162329212,
NGC 7538 IRS1,20160402,0.075389557,Comp.I,-57.82291542,0.018647372,0.876337708,0.043911649,1.147157127,1.070105552,0.046436768,1.188423292
NGC 7538 IRS1,20160402,0.075389557,Comp.II,-60.06157624,0.013475224,0.592888668,0.031732003,1.305686808,0.824032568,0.038194808,1.330440498
NGC 7538 IRS1,20160403,0.094745951,absorption,-56.21130668,0.312769925,6.699087042,0.519908525,-0.378888663,-2.701838843,0.246691395,
NGC 7538 IRS1,20160403,0.094745951,Comp.I,-57.82345787,0.030907741,1.054585998,0.072913789,0.884401534,0.992804411,0.059373847,0.89080976
NGC 7538 IRS1,20160403,0.094745951,Comp.II,-59.99486124,0.025269874,0.854886811,0.05959794,0.973948286,0.886291786,0.053457997,0.99919501
NGC 7538 IRS1,20160404,0.055129782,absorption,-55.33587941,0.182205181,5.390714658,0.38931038,-0.348977816,-2.002517754,0.136035279,
NGC 7538 IRS1,20160404,0.055129782,Comp.I,-57.78786292,0.016343017,0.842065123,0.038485317,1.008962769,0.904384335,0.035795493,1.043242182
NGC 7538 IRS1,20160404,0.055129782,Comp.II,-60.05768792,0.015709884,0.72389029,0.036994376,0.973267356,0.749958304,0.033190126,1.104535103
NGC 7538 IRS1,20160417,0.069616084,absorption,-55.7261273,0.296194753,8.073012836,0.52248825,-0.330563721,-2.840684762,0.201819109,
NGC 7538 IRS1,20160417,0.069616084,Comp.I,-57.81181189,0.02168726,1.082697364,0.051137673,1.094393669,1.261283928,0.051545818,1.118637515
NGC 7538 IRS1,20160417,0.069616084,Comp.II,-60.00861634,0.018181983,0.815491222,0.04286169,1.133002116,0.983517794,0.044737144,1.193291738
NGC 7538 IRS1,20160422,0.031379107,absorption,-55.61226131,0.179479709,8.26587077,0.326767773,-0.252485416,-2.221555255,0.09349303,
NGC 7538 IRS1,20160422,0.031379107,Comp.I,-57.80330842,0.01130027,1.028303767,0.026622173,0.983442444,1.07647162,0.02412798,1.016595391
NGC 7538 IRS1,20160422,0.031379107,Comp.II,-59.97027318,0.008759133,0.750021395,0.020633825,1.083588021,0.865107461,0.020606412,1.145770994
NGC 7538 IRS1,20160423,0.057593898,absorption,-55.55389815,0.349699074,8.967301841,0.630910648,-0.223584183,-2.134199807,0.160822581,
NGC 7538 IRS1,20160423,0.057593898,Comp.I,-57.82516314,0.025341011,1.106169462,0.05981551,0.761828219,0.897038185,0.041941928,0.805845152
NGC 7538 IRS1,20160423,0.057593898,Comp.II,-59.98184497,0.01857578,0.813779521,0.043824038,0.891566129,0.772311546,0.035977537,0.987199772
NGC 7538 IRS1,20160424,0.088330815,absorption,-55.66169212,0.51054716,8.012146773,0.879270388,-0.228642136,-1.950012406,0.24006523,
NGC 7538 IRS1,20160424,0.088330815,Comp.I,-57.85815558,0.032265467,1.179788727,0.076304966,0.87763092,1.102169447,0.061560019,0.916905557
NGC 7538 IRS1,20160424,0.088330815,Comp.II,-60.03992628,0.02691874,0.827687572,0.063586778,0.881475944,0.776620963,0.051574339,0.960074924
NGC 7538 IRS1,20160729,0.048139987,absorption,-55.08628401,0.152988941,5.291159865,0.337891811,-0.360230597,-2.028914246,0.118854551,
NGC 7538 IRS1,20160729,0.048139987,Comp.I,-57.79819294,0.014961137,0.954453613,0.035231551,0.998569821,1.014531353,0.03243143,1.030899965
NGC 7538 IRS1,20160729,0.048139987,Comp.II,-60.04264184,0.010509967,0.659960642,0.024749561,1.182035571,0.830387479,0.02696815,1.169468985
NGC 7538 IRS1,20160730,0.022534197,absorption,-55.96238458,0.113965599,6.799078736,0.213631685,-0.338458128,-2.449555191,0.081299539,
NGC 7538 IRS1,20160730,0.022534197,Comp.I,-57.84780299,0.008949953,1.085227575,0.021104154,0.982105073,1.13451694,0.0190896,1.006987284
NGC 7538 IRS1,20160730,0.022534197,Comp.II,-60.02880097,0.006824015,0.799938022,0.016086756,1.106004993,0.941771704,0.016390418,1.11050143
NGC 7538 IRS1,20160803,0.049578197,absorption,-56.18859212,0.227057326,6.961952199,0.397243807,-0.328302109,-2.432970927,0.155641224,
NGC 7538 IRS1,20160803,0.049578197,Comp.I,-57.8148338,0.018679544,1.060593387,0.044000554,1.00171388,1.130901595,0.040623291,1.059654652
NGC 7538 IRS1,20160803,0.049578197,Comp.II,-60.04869708,0.013116453,0.739676059,0.030894519,1.191381521,0.938047071,0.033925524,1.164425972
NGC 7538 IRS1,20160804,0.055854461,absorption,-55.26970459,0.223044424,7.824655376,0.417166516,-0.29547819,-2.461063721,0.136593729,
NGC 7538 IRS1,20160804,0.055854461,Comp.I,-57.8486996,0.019523465,1.023906843,0.045990347,0.803577782,0.87583153,0.034060895,0.800912647
NGC 7538 IRS1,20160804,0.055854461,Comp.II,-60.02927008,0.014449973,0.745434978,0.034036872,0.92646001,0.735137633,0.029063467,0.905241262
NGC 7538 IRS1,20160806,0.052347532,absorption,-55.92520274,0.205132381,7.379571493,0.361888386,-0.328092745,-2.577270373,0.139150647,
NGC 7538 IRS1,20160806,0.052347532,Comp.I,-57.87802774,0.015089468,1.031051116,0.035555423,1.079986808,1.185307022,0.035383522,1.138960788
NGC 7538 IRS1,20160806,0.052347532,Comp.II,-60.02981832,0.011778752,0.761920788,0.027751161,1.189424988,0.964670708,0.030417953,1.234812717
NGC 7538 IRS1,20160807,0.045712121,absorption,-55.54043277,0.220255287,7.114057737,0.404564011,-0.309909688,-2.346846846,0.141756698,
NGC 7538 IRS1,20160807,0.045712121,Comp.I,-57.88506888,0.01681583,0.991128968,0.039633811,0.917637683,0.968129868,0.033507459,0.965672115
NGC 7538 IRS1,20160807,0.045712121,Comp.II,-60.01158298,0.013467356,0.815365427,0.031738136,1.039252474,0.90199799,0.030391592,1.173399819
NGC 7538 IRS1,20160814,0.039734456,absorption,-55.81628433,0.180047268,7.907080188,0.318489442,-0.35582045,-2.994878839,0.132134571,
NGC 7538 IRS1,20160814,0.039734456,Comp.I,-57.89035945,0.015640451,1.064993916,0.036867814,0.992492712,1.125140255,0.033708958,1.023112961
NGC 7538 IRS1,20160814,0.039734456,Comp.II,-60.07373822,0.011081524,0.795893944,0.026116546,1.211118094,1.026062706,0.029142498,1.295734234
NGC 7538 IRS1,20160816,0.050843932,absorption,-55.89548941,0.233390832,8.30509852,0.416148134,-0.322437026,-2.850505646,0.155230293,
NGC 7538 IRS1,20160816,0.050843932,Comp.I,-57.88399002,0.018118561,1.070112424,0.04272806,1.025520732,1.168170033,0.040355435,1.03465243
NGC 7538 IRS1,20160816,0.050843932,Comp.II,-60.04167746,0.01303771,0.802356017,0.030737564,1.23419327,1.054101661,0.03494578,1.266862695
NGC 7538 IRS1,20160818,0.052282569,absorption,-55.64684172,0.234312183,8.038485219,0.419068434,-0.29732259,-2.544100923,0.143534919,
NGC 7538 IRS1,20160818,0.052282569,Comp.I,-57.88499681,0.016176543,1.050281442,0.038133541,1.031093582,1.152752268,0.036221026,1.105759738
NGC 7538 IRS1,20160818,0.052282569,Comp.II,-60.04775893,0.012095412,0.798570091,0.028507582,1.202576415,1.022251915,0.031585449,1.326747962
NGC 7538 IRS1,20160819,0.055251485,absorption,-55.80295275,0.20690036,7.067943239,0.366279896,-0.343721665,-2.586021728,0.147202662,
NGC 7538 IRS1,20160819,0.055251485,Comp.I,-57.89604806,0.016584986,1.05216207,0.039077518,1.02984398,1.153416837,0.037084439,1.037514339
NGC 7538 IRS1,20160819,0.055251485,Comp.II,-60.04793142,0.01141542,0.731247428,0.026893572,1.247420546,0.970978145,0.030916906,1.279802481
NGC 7538 IRS1,20160821,0.059070981,absorption,-55.7178759,0.262198012,8.220848442,0.483057559,-0.304855146,-2.667733126,0.16509946,
NGC 7538 IRS1,20160821,0.059070981,Comp.I,-57.8927041,0.020042698,0.954327602,0.047208575,0.952891997,0.967995581,0.041462565,1.043141673
NGC 7538 IRS1,20160821,0.059070981,Comp.II,-60.05143147,0.014389458,0.777272772,0.033892004,1.197880405,0.991103765,0.037420009,1.29821592
NGC 7538 IRS1,20161001,0.044990225,absorption,-56.08725674,0.188486801,8.284901954,0.336117078,-0.338060799,-2.981359835,0.13180417,
NGC 7538 IRS1,20161001,0.044990225,Comp.I,-57.94719851,0.016420533,1.11452946,0.0387461,0.988128565,1.172295821,0.035246741,0.962789564
NGC 7538 IRS1,20161001,0.044990225,Comp.II,-60.09150033,0.011109119,0.775351025,0.026199843,1.218484572,1.005658688,0.029401723,1.226865078
NGC 7538 IRS1,20161016,0.029101024,absorption,-55.42848279,0.130363924,6.143050678,0.260522326,-0.314935767,-2.05938855,0.086682969,
NGC 7538 IRS1,20161016,0.029101024,Comp.I,-57.89878928,0.011937939,0.949633679,0.028112703,0.843147358,0.852298653,0.021850335,0.839366239
NGC 7538 IRS1,20161016,0.029101024,Comp.II,-60.10725725,0.008422027,0.680483209,0.019832981,1.011701273,0.732827773,0.018496574,1.08654369
NGC 7538 IRS1,20161025,0.046945943,absorption,-55.55667848,0.22455985,8.206637882,0.400790155,-0.327035794,-2.856885071,0.151086266,
NGC 7538 IRS1,20161025,0.046945943,Comp.I,-57.93086264,0.020261384,1.083944078,0.047810025,0.86296826,0.995712387,0.03798276,0.906061078
NGC 7538 IRS1,20161025,0.046945943,Comp.II,-60.08466437,0.014524333,0.819617144,0.034258801,1.047019992,0.913478266,0.033031784,1.12520937
NGC 7538 IRS1,20161026,0.078224435,absorption,-55.76197868,0.369376043,8.014944705,0.649245114,-0.27343505,-2.332850588,0.207748045,
NGC 7538 IRS1,20161026,0.078224435,Comp.I,-57.95543848,0.036222894,1.151513312,0.085514263,0.701401023,0.859740861,0.055199414,0.708990203
NGC 7538 IRS1,20161026,0.078224435,Comp.II,-60.06352125,0.021632208,0.723478366,0.051026408,0.931356195,0.717254971,0.04376402,0.908527502
NGC 7538 IRS1,20161029,0.099061561,absorption,-55.63629608,0.316828002,9.636074054,0.58249194,-0.401311408,-4.116364689,0.261963612,
NGC 7538 IRS1,20161029,0.099061561,Comp.I,-57.92206766,0.03112002,1.087233466,0.07343307,1.000951757,1.158425659,0.067664882,1.163955777
NGC 7538 IRS1,20161029,0.099061561,Comp.II,-60.12091792,0.02135091,0.858439771,0.050363966,1.29649858,1.184715542,0.060128168,1.363170355
NGC 7538 IRS1,20170102,0.030707306,absorption,-55.46675078,0.144171017,6.266861816,0.284930978,-0.31914392,-2.128966874,0.096915659,
NGC 7538 IRS1,20170102,0.030707306,Comp.I,-57.87846227,0.012061521,0.934227086,0.028403724,0.925911077,0.920775901,0.024243576,0.924141773
NGC 7538 IRS1,20170102,0.030707306,Comp.II,-60.07869912,0.009029411,0.691676546,0.021263314,1.064257433,0.78357749,0.020860589,1.08114894
NGC 7538 IRS1,20170111,0.054880741,absorption,-56.25352494,0.227145429,7.412314431,0.382102858,-0.329490469,-2.59973392,0.155339287,
NGC 7538 IRS1,20170111,0.054880741,Comp.I,-57.88566004,0.0212318,1.129518263,0.050201849,0.863621083,1.038361802,0.039859497,0.928446545
NGC 7538 IRS1,20170111,0.054880741,Comp.II,-60.03935199,0.015963818,0.849985615,0.037712299,0.996714721,0.901809195,0.03458328,1.055120049
NGC 7538 IRS1,20170112,0.118693171,absorption,-56.93288645,0.364559119,7.404785725,0.669349534,-0.368473434,-2.904362948,0.286936376,
NGC 7538 IRS1,20170112,0.118693171,Comp.I,-57.95534418,0.031434785,1.02535935,0.074176159,1.105169962,1.206250145,0.075468154,1.107177093
NGC 7538 IRS1,20170112,0.118693171,Comp.II,-60.081006,0.027307408,0.858578323,0.064420071,1.164243153,1.064034776,0.069060831,1.207554337
NGC 7538 IRS1,20170216,0.078746955,absorption,-55.08066397,0.199543202,5.541951932,0.44837986,-0.377024697,-2.224153539,0.162887693,
NGC 7538 IRS1,20170216,0.078746955,Comp.I,-57.85356271,0.018568826,0.881562904,0.04372784,1.059352914,0.994091093,0.042702263,1.081126333
NGC 7538 IRS1,20170216,0.078746955,Comp.II,-60.02390002,0.01324667,0.729821592,0.031194584,1.351190094,1.049700419,0.038854439,1.31460515
NGC 7538 IRS1,20170220,0.049006464,absorption,-55.63128441,0.202945771,7.062291636,0.372776829,-0.319034012,-2.398362598,0.134320502,
