pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?
J202045.09,G73.138-1.243,20 20 45.10,34 22 02.4,20160922,0.064049184,38.52023489,0.164090698,2.177952138,0.386407921,-0.165452542,-0.383578261,0.058939743,,
J201037.97,G73.611+1.558,20 10 37.97,36 19 13.7,20160922,0.050674815,-38.6464062,0.271916157,5.762457144,0.640320018,-0.129425086,-0.793886434,0.076389939,,
J200336.28,G74.008+3.476,20 03 36.30,37 41 14.0,20160609,0.037792046,-3.988467428,0.296337471,5.847868594,0.697828394,-0.091417705,-0.569062715,0.058810847,,
J202305.81,G76.853+0.760,20 23 05.81,38 33 39.6,20161112,0.044201177,3.599282285,0.143568026,2.698607889,0.338080245,-0.132465645,-0.380518043,0.041283924,,
J202054.80,G78.595+2.479,20 20 54.80,40 58 18.6,20160605,0.053401344,10.76421017,0.27835518,4.129390016,0.655482912,-0.107344181,-0.471842027,0.064866629,,
J202635.79,G78.697+1.234,20 26 35.80,40 20 26.9,20160928,0.052411776,-46.80379057,0.204556537,3.402333643,0.481698645,-0.128855285,-0.466671571,0.057222396,,
J203638.17,G78.776-1.103,20 36 38.18,39 01 21.8,20160916,0.043058116,-0.985258051,0.111627036,1.282547626,0.262864211,-0.119412998,-0.163026165,0.028939755,,
J204800.62,G80.381-2.647,20 48 00.60,39 20 12.2,20160403,0.064587526,-3.663409095,0.138165134,1.606485359,0.32535728,-0.172359413,-0.294743332,0.051692234,,
J204122.27,G81.722+0.021,20 41 22.27,42 02 40.9,20160818,0.042942878,-5.986261998,0.152266475,2.188705677,0.358563733,-0.116672808,-0.271824892,0.038562782,,H
J204122.27,G81.722+0.021,20 41 22.27,42 02 40.9,20160818,0.042942878,8.888291441,0.193136166,3.227006272,0.454805463,-0.111678193,-0.383619254,0.046822058,,H
J205600.38,G84.586-1.111,20 56 00.39,43 33 11.4,20160817,0.043451957,3.157821837,0.331363679,9.292926595,0.780309636,-0.120833494,-1.195286603,0.086924846,,H
J205358.78,G85.081-0.215,20 53 58.78,44 30 34.3,20160911,0.045236181,-4.571996015,0.321061086,4.487021215,0.794160594,-0.088999863,-0.42508881,0.063097107,,H
J205358.78,G85.081-0.215,20 53 58.78,44 30 34.3,20160911,0.045236181,0.698874207,0.150678297,1.602056927,0.358544373,-0.113943508,-0.194312052,0.038688552,,H
J205417.21,G85.394-0.024,20 54 17.22,44 52 21.1,20160819,0.042759888,-37.0295818,0.149506145,2.31015973,0.352063581,-0.124070217,-0.305099687,0.040263981,,
J211326.53,G88.708-1.555,21 13 26.53,46 19 19.7,20160803,0.038605936,-20.07938839,0.153886462,1.984801254,0.362378547,-0.108979508,-0.230247051,0.03640232,,
J211831.82,G91.183-0.355,21 18 31.83,48 56 07.5,20160806,0.042047724,-25.03707899,0.125060962,1.849866908,0.294499003,-0.124398161,-0.244955194,0.033771454,,
J213703.83,G94.854-0.819,21 37 03.84,51 08 11.6,20160805,0.047439534,-44.27746507,0.145723155,1.928282441,0.343155224,-0.119044325,-0.244349555,0.037660505,,
J214001.32,G96.023-0.191,21 40 01.32,52 22 56.2,20160804,0.061178643,-57.18414862,0.163257857,2.578042285,0.384446705,-0.162419392,-0.445717954,0.057564872,,
J214041.65,G99.982+4.171,21 40 41.70,58 16 12.4,20170305,0.051698655,0.725921104,0.182820911,2.08001712,0.430514651,-0.128149483,-0.283737004,0.050853051,,
J225644.16,G108.397-1.125,22 56 44.17,58 28 18.2,20160908,0.038025666,-54.47010828,0.185563854,2.769147403,0.436973842,-0.099316948,-0.292753199,0.040009273,,
J002126.24,G119.398-0.842,00 21 26.24,61 49 25.4,20160831,0.067078047,-37.14740164,0.081774087,1.470495581,0.192565177,-0.173290981,-0.271251341,0.030760828,,
J003658.09,G121.349+1.223,00 36 58.09,64 03 00.5,20160805,0.064838096,-29.47694872,0.089029654,1.873057479,0.209650906,-0.182266018,-0.363403428,0.035224693,,
J012142.12,G126.426-0.240,01 21 42.12,62 25 35.4,20160806,0.039597716,-58.14085115,0.194385909,3.093088859,0.457748401,-0.105505168,-0.347374825,0.044522561,,
J025306.33,G133.395+8.881,02 53 06.30,69 14 35.3,20160402,0.090756521,-10.6309955,0.116951767,1.681214907,0.275403119,-0.269957174,-0.48311477,0.068533273,,
J054126.49,G173.392+3.032,05 41 26.50,36 09 01.3,20170320,0.065818459,-21.21225551,0.175028989,2.441058197,0.412165891,-0.173750237,-0.451477124,0.066013173,,
J054045.56,G173.615+2.732,05 40 45.60,35 48 11.7,20160328,0.049061142,-21.3784149,0.134693825,1.715821294,0.317182887,-0.126057169,-0.230235247,0.03685947,,H
J060354.18,G180.873+4.093,06 03 54.20,30 14 51.6,20160228,0.043876559,-6.940358509,0.20470641,4.329407159,0.482051578,-0.122696069,-0.5654462,0.054527354,,
J054936.29,G185.262-2.134,05 49 36.30,23 19 47.8,20160407,0.043666571,0.523808139,0.133030238,1.927106822,0.313265403,-0.12808195,-0.26273984,0.03698602,,
J072439.16,G238.383-4.124,07 24 39.20,-24 28 22.3,20160307,0.061346091,18.99969867,0.208049271,3.666323591,0.489923493,-0.165108701,-0.644366515,0.074569956,,
