pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?,distance_bayesian,distance_bayesian_err,d_kin
J181307.42,G17.980+2.920,18 13 07.40,-11 53 37.5,20160422,0.049846556,30.63348476,0.175839901,2.176629094,0.414085367,-0.128297131,-0.297258023,0.048976785,,,3.25,1.54,
J181401.27,G18.128+2.750,18 14 01.30,-11 50 40.4,20160422,0.055715714,26.25674897,0.084897273,2.046087456,0.199919797,-0.267610463,-0.582853612,0.049320372,,,2,0.08,
J182739.94,G20.234+0.085,18 27 39.95,-11 14 32.3,20160704,0.057591166,71.36200305,0.120428898,4.472088973,0.283591215,-0.294457325,-1.401732065,0.076980532,Y,,4.41,0.39,
J182752.05,G20.315+0.072,18 27 52.06,-11 10 35.8,20160704,0.047970485,70.82040819,0.218727057,3.105106492,0.517789585,-0.193329341,-0.639008273,0.091970458,Y,,4.42,0.4,
J182752.05,G20.315+0.072,18 27 52.06,-11 10 35.8,20160704,0.047970485,76.71634418,0.28954759,2.405545255,0.684711185,-0.128636048,-0.329388498,0.080981058,Y,,4.45,0.41,
J182816.01,G20.363-0.014,18 28 16.02,-11 10 25.4,20160704,0.056142371,50.70887007,0.112300034,4.313446898,0.264449014,-0.301940395,-1.386365955,0.073608649,Y,,4.21,0.49,
J182213.71,G20.493+1.732,18 22 13.71,-10 14 36.6,20160704,0.057007954,27.43852069,0.059754154,1.955573877,0.140711684,-0.370245337,-0.770718947,0.048025588,,,1.49,0.05,
J182754.05,G20.495+0.157,18 27 54.06,-10 58 37.3,20160704,0.052983694,22.40436625,0.266504411,5.655642039,0.627576204,-0.139860115,-0.841992077,0.080920215,,H,1.5,0.04,13.41514078
J182754.05,G20.495+0.157,18 27 54.06,-10 58 37.3,20160704,0.052983694,121.3045605,0.168467774,3.648284769,0.396715228,-0.177729077,-0.690207104,0.064997589,,,9.2,0.33,
J182224.71,G20.505+1.688,18 22 24.72,-10 15 13.2,20160704,0.170143738,27.51202922,0.106989023,1.706605714,0.279885086,-0.711204308,-1.29199188,0.172398983,,,1.49,0.05,
J182224.71,G20.505+1.688,18 22 24.72,-10 15 13.2,20160704,0.170143738,29.31753868,0.192452674,0.898607205,0.45186685,-0.284675256,-0.272302624,0.136537133,,,1.99,0.08,
J182921.28,G20.749-0.112,18 29 21.28,-10 52 38.5,20160704,0.068122178,104.2975286,0.03987481,2.291366281,0.093898928,-0.748105747,-1.824692634,0.06475695,,,9.26,1.3,
J182910.23,G21.237+0.194,18 29 10.24,-10 18 11.0,20160704,0.053329255,25.60069446,0.065709704,2.53590864,0.154736075,-0.374755476,-1.0116116,0.053457084,,,13.07,0.25,
J182953.63,G21.269+0.010,18 29 53.63,-10 21 38.4,20160704,0.056270156,74.10812338,0.215941644,2.76563427,0.508508771,-0.26428146,-0.778025186,0.123889999,,,4.58,0.42,
J182953.63,G21.269+0.010,18 29 53.63,-10 21 38.4,20160704,0.056270156,97.67835844,0.244114315,1.212297691,0.574850773,-0.154791683,-0.199751068,0.082027338,,,5.24,1.55,
